w	mag
0.000	-16.478
0.005	-16.478
0.010	-16.478
0.016	-16.477
0.021	-16.477
0.026	-16.476
0.031	-16.475
0.037	-16.474
0.042	-16.472
0.047	-16.471
0.052	-16.469
0.058	-16.467
0.063	-16.465
0.068	-16.462
0.073	-16.460
0.079	-16.457
0.084	-16.454
0.089	-16.451
0.094	-16.448
0.099	-16.444
0.105	-16.441
0.110	-16.437
0.115	-16.433
0.120	-16.429
0.126	-16.424
0.131	-16.420
0.136	-16.415
0.141	-16.410
0.147	-16.405
0.152	-16.399
0.157	-16.394
0.162	-16.388
0.168	-16.382
0.173	-16.376
0.178	-16.370
0.183	-16.363
0.188	-16.357
0.194	-16.350
0.199	-16.343
0.204	-16.336
0.209	-16.328
0.215	-16.321
0.220	-16.313
0.225	-16.305
0.230	-16.297
0.236	-16.289
0.241	-16.280
0.246	-16.271
0.251	-16.262
0.257	-16.253
0.262	-16.244
0.267	-16.235
0.272	-16.225
0.278	-16.215
0.283	-16.205
0.288	-16.195
0.293	-16.185
0.298	-16.174
0.304	-16.163
0.309	-16.152
0.314	-16.141
0.319	-16.130
0.325	-16.118
0.330	-16.107
0.335	-16.095
0.340	-16.083
0.346	-16.071
0.351	-16.058
0.356	-16.046
0.361	-16.033
0.367	-16.020
0.372	-16.007
0.377	-15.993
0.382	-15.980
0.387	-15.966
0.393	-15.952
0.398	-15.938
0.403	-15.924
0.408	-15.910
0.414	-15.895
0.419	-15.880
0.424	-15.865
0.429	-15.850
0.435	-15.835
0.440	-15.819
0.445	-15.803
0.450	-15.788
0.456	-15.771
0.461	-15.755
0.466	-15.739
0.471	-15.722
0.476	-15.705
0.482	-15.688
0.487	-15.671
0.492	-15.654
0.497	-15.636
0.503	-15.619
0.508	-15.601
0.513	-15.583
0.518	-15.564
0.524	-15.546
0.529	-15.527
0.534	-15.509
0.539	-15.490
0.545	-15.471
0.550	-15.451
0.555	-15.432
0.560	-15.412
0.565	-15.392
0.571	-15.372
0.576	-15.352
0.581	-15.332
0.586	-15.311
0.592	-15.291
0.597	-15.270
0.602	-15.249
0.607	-15.227
0.613	-15.206
0.618	-15.184
0.623	-15.163
0.628	-15.141
0.634	-15.119
0.639	-15.096
0.644	-15.074
0.649	-15.051
0.654	-15.029
0.660	-15.006
0.665	-14.983
0.670	-14.959
0.675	-14.936
0.681	-14.912
0.686	-14.889
0.691	-14.865
0.696	-14.841
0.702	-14.816
0.707	-14.792
0.712	-14.767
0.717	-14.743
0.723	-14.718
0.728	-14.693
0.733	-14.668
0.738	-14.642
0.744	-14.617
0.749	-14.591
0.754	-14.565
0.759	-14.539
0.764	-14.513
0.770	-14.487
0.775	-14.461
0.780	-14.434
