w	mag
0.000	-16.478
0.021	-16.476
0.042	-16.470
0.063	-16.460
0.084	-16.447
0.105	-16.429
0.126	-16.407
0.147	-16.382
0.168	-16.353
0.188	-16.320
0.209	-16.284
0.230	-16.244
0.251	-16.201
0.272	-16.154
0.293	-16.104
0.314	-16.052
0.335	-15.996
0.356	-15.937
0.377	-15.875
0.398	-15.811
0.419	-15.744
0.440	-15.675
0.461	-15.604
0.482	-15.530
0.503	-15.454
0.524	-15.376
0.545	-15.297
0.565	-15.215
0.586	-15.132
0.607	-15.048
0.628	-14.962
0.649	-14.874
0.670	-14.785
0.691	-14.696
0.712	-14.605
0.733	-14.513
0.754	-14.420
0.775	-14.326
0.796	-14.232
0.817	-14.137
0.838	-14.041
0.859	-13.945
0.880	-13.848
0.901	-13.751
0.922	-13.653
0.942	-13.555
0.963	-13.457
0.984	-13.359
1.005	-13.260
1.026	-13.161
1.047	-13.062
1.068	-12.963
1.089	-12.864
1.110	-12.765
1.131	-12.666
1.152	-12.567
1.173	-12.468
1.194	-12.369
1.215	-12.270
1.236	-12.171
1.257	-12.072
1.278	-11.974
1.299	-11.875
1.319	-11.777
1.340	-11.679
1.361	-11.582
1.382	-11.484
1.403	-11.387
1.424	-11.290
1.445	-11.193
1.466	-11.096
1.487	-11.000
1.508	-10.904
1.529	-10.808
1.550	-10.712
1.571	-10.617
1.592	-10.522
1.613	-10.427
1.634	-10.333
1.655	-10.239
1.676	-10.145
1.696	-10.051
1.717	-9.958
1.738	-9.865
1.759	-9.772
1.780	-9.679
1.801	-9.587
1.822	-9.495
1.843	-9.403
1.864	-9.312
1.885	-9.220
1.906	-9.129
1.927	-9.039
1.948	-8.948
1.969	-8.858
1.990	-8.768
2.011	-8.678
2.032	-8.588
2.053	-8.499
2.073	-8.410
2.094	-8.321
2.115	-8.232
2.136	-8.144
2.157	-8.056
2.178	-7.968
2.199	-7.880
2.220	-7.792
2.241	-7.705
2.262	-7.617
2.283	-7.530
2.304	-7.443
2.325	-7.357
2.346	-7.270
2.367	-7.183
2.388	-7.097
2.409	-7.011
2.429	-6.925
2.450	-6.839
2.471	-6.753
2.492	-6.667
2.513	-6.582
2.534	-6.496
2.555	-6.411
2.576	-6.326
2.597	-6.240
2.618	-6.155
2.639	-6.070
2.660	-5.985
2.681	-5.900
2.702	-5.815
2.723	-5.731
2.744	-5.646
2.765	-5.561
2.786	-5.476
2.806	-5.392
2.827	-5.307
2.848	-5.223
2.869	-5.138
2.890	-5.053
2.911	-4.969
2.932	-4.884
2.953	-4.799
2.974	-4.715
2.995	-4.630
3.016	-4.545
3.037	-4.460
3.058	-4.376
3.079	-4.291
3.100	-4.206
3.121	-4.121
