w	mag
1.786189803044363922e+00	-1.333776782439293918e+01
1.807203800727238852e+00	-1.327770224141658773e+01
1.828217798410113781e+00	-1.321737918777816212e+01
1.849231796092988711e+00	-1.315680395540482372e+01
1.870245793775863419e+00	-1.309598162861499659e+01
1.891259791458738349e+00	-1.303491708693663931e+01
1.912273789141613278e+00	-1.297361500796955980e+01
1.933287786824488208e+00	-1.291207987028305837e+01
1.954301784507362916e+00	-1.285031595634053403e+01
1.975315782190237845e+00	-1.278832735544339627e+01
1.996329779873112775e+00	-1.272611796668685713e+01
2.017343777555987483e+00	-1.266369150192085513e+01
2.038357775238862413e+00	-1.260105148870959724e+01
2.059371772921737342e+00	-1.253820127328385325e+01
2.080385770604612272e+00	-1.247514402348028995e+01
2.101399768287487202e+00	-1.241188273166271472e+01
2.122413765970362132e+00	-1.234842021762041853e+01
2.143427763653236617e+00	-1.228475913143910958e+01
2.164441761336111547e+00	-1.222090195634027410e+01
2.185455759018986477e+00	-1.215685101148522307e+01
2.206469756701861407e+00	-1.209260845474029367e+01
2.227483754384736336e+00	-1.202817628539989059e+01
2.248497752067611266e+00	-1.196355634686455360e+01
2.269511749750486196e+00	-1.189875032927126242e+01
2.290525747433361126e+00	-1.183375977207357721e+01
2.311539745116235611e+00	-1.176858606656937667e+01
2.332553742799110541e+00	-1.170323045837416842e+01
2.353567740481985471e+00	-1.163769404983823108e+01
2.374581738164860401e+00	-1.157197780240588969e+01
2.395595735847735330e+00	-1.150608253891557808e+01
2.416609733530610260e+00	-1.144000894583932748e+01
2.437623731213485190e+00	-1.137375757546066879e+01
2.458637728896359675e+00	-1.130732884798986149e+01
2.479651726579234605e+00	-1.124072305361569235e+01
2.500665724262109535e+00	-1.117394035449311218e+01
2.521679721944984465e+00	-1.110698078666607103e+01
2.542693719627859394e+00	-1.103984426192511137e+01
2.563707717310734324e+00	-1.097253056959927164e+01
2.584721714993609254e+00	-1.090503937828201231e+01
2.605735712676484184e+00	-1.083737023749092288e+01
2.626749710359358669e+00	-1.076952257926107848e+01
2.647763708042233599e+00	-1.070149571967192514e+01
2.668777705725108529e+00	-1.063328886030768672e+01
2.689791703407983459e+00	-1.056490108965133601e+01
2.710805701090858388e+00	-1.049633138441212665e+01
2.731819698773733318e+00	-1.042757861078698411e+01
2.752833696456608248e+00	-1.035864152565567053e+01
2.773847694139482734e+00	-1.028951877771017109e+01
2.794861691822357663e+00	-1.022020890851830899e+01
2.815875689505232593e+00	-1.015071035352205797e+01
2.836889687188107523e+00	-1.008102144297062708e+01
2.857903684870982453e+00	-1.001114040278874739e+01
2.878917682553857382e+00	-9.941065355380448665e+00
2.899931680236732312e+00	-9.870794320368613484e+00
2.920945677919607242e+00	-9.800325215270721202e+00
2.941959675602481727e+00	-9.729655856111053325e+00
2.962973673285356657e+00	-9.658783957969781397e+00
2.983987670968231587e+00	-9.587707135469297981e+00
3.005001668651106517e+00	-9.516422903198098027e+00
3.026015666333981446e+00	-9.444928676072670726e+00
3.047029664016856376e+00	-9.373221769637744671e+00
3.068043661699731306e+00	-9.301299400305190090e+00
3.089057659382605792e+00	-9.229158685532134143e+00
3.110071657065480721e+00	-9.156796643938466929e+00
3.131085654748355651e+00	-9.084210195364274654e+00
