T X1 X2 U1 U2 Vx Vsup
1.299999999999999767e-01 1.078344873508623403e+00 -2.880321272382644904e-01 -9.711181271015744132e-01 2.385992104235264977e-01 6.228950862718642956e-01 9.144417803429839564e-01
1.399999999999999856e-01 1.046840451063735911e+00 -3.022747247021929651e-01 -9.661292432081400872e-01 2.580586859961641055e-01 5.936224695885563563e-01 9.006880601969984301e-01
1.499999999999999944e-01 1.015585988098584913e+00 -3.154902209329692453e-01 -9.607498656462521991e-01 2.774161056260218694e-01 5.654744893632563940e-01 8.872410075127693529e-01
1.600000000000000033e-01 9.846017933823557611e-01 -3.277001627966913966e-01 -9.549820178506063240e-01 2.966636910408554928e-01 5.384140441143645539e-01 8.740930449696616700e-01
1.700000000000000122e-01 9.539074224825466741e-01 -3.389262487928083600e-01 -9.488278745152810556e-01 3.157937056732038061e-01 5.124051863940302098e-01 8.612367970659704497e-01
1.800000000000000211e-01 9.235216846538220059e-01 -3.491903114693525878e-01 -9.422897605010079891e-01 3.347984576651344413e-01 4.874130878249484655e-01 8.486650844836645113e-01
1.900000000000000300e-01 8.934626499813037581e-01 -3.585143002096792819e-01 -9.353701496636940282e-01 3.536703028501524959e-01 4.634040051832248874e-01 8.363709186147738617e-01
2.000000000000000389e-01 8.637476567679384098e-01 -3.669202643903695105e-01 -9.280716636027533939e-01 3.724016477106642520e-01 4.403452474962015195e-01 8.243474962447134846e-01
2.100000000000000477e-01 8.343933191557554307e-01 -3.744303369097749523e-01 -9.203970703276123100e-01 3.909849523093544277e-01 4.182051441250629331e-01 8.125881943879819103e-01
2.200000000000000566e-01 8.054155349710128142e-01 -3.810667180865045522e-01 -9.123492828405166399e-01 4.094127331927953084e-01 3.969530138029311317e-01 8.010865652717988894e-01
2.300000000000000655e-01 7.768294937834153702e-01 -3.868516599269839484e-01 -9.039313576335115119e-01 4.276775662655648014e-01 3.765591346000300987e-01 7.898363314633801702e-01
2.400000000000000744e-01 7.486496851697765909e-01 -3.918074507610574964e-01 -8.951464930971587686e-01 4.457720896330974458e-01 3.569947147883421046e-01 7.788313811366737172e-01
2.500000000000000555e-01 7.208899071726903030e-01 -3.959564002444455610e-01 -8.859980278381971441e-01 4.636890064114365106e-01 3.382318645789947897e-01 7.680657634745032825e-01
2.600000000000000644e-01 6.935632749449758272e-01 -3.993208247267217015e-01 -8.764894389029465049e-01 4.814210875019891978e-01 3.202435687064146830e-01 7.575336842021829220e-01
2.700000000000000733e-01 6.666822295708592083e-01 -4.019230329833327064e-01 -8.666243399027732108e-01 4.989611743293084767e-01 3.030036598340464793e-01 7.472295012487845112e-01
2.800000000000000822e-01 6.402585470550656854e-01 -4.037853123100488828e-01 -8.564064790373787650e-01 5.163021815398417536e-01 2.864867927571937423e-01 7.371477205323506698e-01
2.900000000000000910e-01 6.143033474712061848e-01 -4.049299149781049878e-01 -8.458397370110262159e-01 5.334370996594798298e-01 2.706684193792524007e-01 7.272829918654492021e-01
3.000000000000000999e-01 5.888271042610643269e-01 -4.053790450481715157e-01 -8.349281248360578278e-01 5.503589977076275286e-01 2.555247644383188965e-01 7.176301049775819507e-01
3.100000000000001088e-01 5.638396536766173694e-01 -4.051548455411837502e-01 -8.236757815171681374e-01 5.670610257653774244e-01 2.410328019618341311e-01 7.081839856510505626e-01
3.200000000000001177e-01 5.393502043568612070e-01 -4.042793859639510212e-01 -8.120869716088607859e-01 5.835364174952143435e-01 2.271702324275886031e-01 6.989396919669920161e-01
3.300000000000001266e-01 5.153673470317571281e-01 -4.027746501873712415e-01 -8.001660826372781754e-01 5.997784926094905655e-01 2.139154606100553968e-01 6.898924106583819160e-01
