y	x	u	v
-0.00569263159431	0.2093718338	0.2	0.2
0.0273256386838	0.245707828027	-0.2	-0.2
0.036003740266	0.253524211248	0.2	-0.2
-0.0135398034911	0.255914303261	-0.2	-0.2
-0.0870231737653	0.256378190763	-0.2	-0.2
-0.174889060791	0.200468602381	-0.2	-0.2
-0.26517563413	0.120222043248	-0.2	-0.2
-0.357746998372	0.0342602519659	-0.2	0.2
-0.394643220126	-0.0531880610889	-0.2	-0.2
-0.414431944811	-0.147371091405	0.2	0.2
-0.423870827342	-0.18750784361	0.2	0.2
-0.376597175844	-0.150580621875	0.2	0.2
-0.302610716562	-0.079831691879	0.2	0.2
-0.217821147628	0.00375533305176	-0.2	0.2
-0.128677049432	0.0452920202309	0.2	0.2
-0.0397960051831	0.0604120828071	0.2	0.2
0.0498450280303	0.11723271201	-0.2	-0.2
0.0887415457897	0.142909658219	0.2	-0.2
0.0529294496494	0.144666750434	0.2	-0.2
-0.037282284696	0.213011964849	-0.2	-0.2
-0.118652203992	0.219382278747	-0.2	-0.2
-0.204284813203	0.170302552991	-0.2	-0.2
-0.294725806325	0.0934444715558	-0.2	-0.2
-0.384224903698	0.00646268087964	-0.2	0.2
-0.409318841534	-0.0870519560206	-0.2	-0.2
-0.436630070357	-0.182112638558	0.2	0.2
-0.432947877433	-0.207836271777	0.2	0.2
-0.374646350509	-0.164885363643	0.2	0.2
-0.29320367214	-0.0913624396257	0.2	0.2
-0.204872659259	-0.00484891969169	0.2	0.2
-0.116675494809	0.0826325252781	0.2	0.2
