noise_x noise_y vxd vyd time
-0.0507633523941 -0.0688331375122 -0.2 0.0 0.0
-0.0493092880249 -0.0682535362244 -0.2 0.0 0.0288450717926
-0.0485266656876 -0.0680706253052 -0.2 0.0 0.0572140216827
-0.0459336385727 -0.0668268127441 -0.2 0.0 0.085883140564
-0.043999879837 -0.0664224205017 -0.2 0.0 0.114666938782
-0.042906662941 -0.0660250854492 -0.2 0.0 0.143110990524
-0.0393053627014 -0.0651299877167 -0.2 0.0 0.17191195488
-0.040103638649 -0.0656077480316 -0.2 0.0 0.200297117233
-0.0362183189392 -0.0647076969147 -0.2 0.0 0.228849172592
-0.033893743515 -0.0643373069763 -0.2 0.0 0.258164167404
-0.0342820882797 -0.0644139595032 -0.2 0.0 0.286339044571
-0.0301503753662 -0.0635120563507 -0.2 0.0 0.313503026962
-0.0265972900391 -0.0627167663574 -0.2 0.0 0.343050956726
-0.0264511852264 -0.0632278575897 -0.2 0.0 0.371607065201
-0.0224824428558 -0.0622726192474 -0.2 0.0 0.400465011597
-0.0207737579346 -0.0619085063934 -0.2 0.0 0.428704977036
-0.0196431379318 -0.0617050037384 -0.2 0.0 0.458492994308
-0.0172251214981 -0.0613764896393 -0.2 0.0 0.486217021942
-0.0149147119522 -0.0606242656708 -0.2 0.0 0.514724969864
-0.0131616334915 -0.0608165607452 -0.2 0.0 0.542701005936
-0.0108095960617 -0.0604440631866 -0.2 0.0 0.571861028671
-0.0116036682129 -0.0598301296234 -0.2 0.0 0.600069999695
-0.0156570615768 -0.0596315889359 -0.2 0.0 0.628721952438
-0.0186005363464 -0.0592155408859 -0.2 0.0 0.657200098038
-0.0221581897736 -0.0587274894714 -0.2 0.0 0.685891151428
-0.0273322057724 -0.0582720489502 -0.2 0.0 0.714435100555
-0.0308801612854 -0.0578491888046 -0.2 0.0 0.743155002594
-0.0343338003159 -0.0575772342682 -0.2 0.0 0.771667003632
-0.0388967618942 -0.0573309249878 -0.2 0.0 0.800411939621
-0.0412402219772 -0.0569695034027 -0.2 0.0 0.828825950623
-0.0473409175873 -0.0570883970261 -0.2 0.0 0.857445955276
-0.0496974039078 -0.0563865804672 -0.2 0.0 0.885895967484
-0.0535567922592 -0.0561843819618 -0.2 0.0 0.914391040802
-0.0587263441086 -0.0565407867432 -0.2 0.0 0.942964076996
-0.061210018158 -0.0557859172821 -0.2 0.0 0.971606969833
-0.0629469385147 -0.0552984113693 -0.2 0.0 1.0
-0.0669339103699 -0.055263502121 -0.2 0.0 1.02908110619
-0.069419462204 -0.0552196521759 -0.2 0.0 1.0572719574
-0.0715363407135 -0.0542968790531 -0.2 0.0 1.08624505997
-0.0750904512405 -0.0550358951092 -0.2 0.0 1.11354613304
-0.0767555532455 -0.0548926842213 -0.2 0.0 1.14261412621
-0.0785533952713 -0.0540617263317 -0.2 0.0 1.17171812057
-0.0816495285034 -0.0542188659906 -0.2 0.0 1.20032906532
-0.0831808633804 -0.0534711211622 -0.2 0.0 1.22871994972
-0.0840294265747 -0.0531499026567 -0.2 0.0 1.25690197945
-0.0863578901291 -0.0534251233339 -0.2 0.0 1.28508615494
