noise	cpu_time_wo_loops	cpu_time_w_loops	nodes	nodes_loops
0.250	1.794	0.341	64	16
0.200	5.206	0.355	100	16
0.167	13.686	0.377	144	16
0.143	31.951	0.372	196	16
0.125	70.224	0.366	256	16
0.111	173.198	0.332	324	16
